ts,price,date
1774285414595,2134.6115049108157,2026-03-23
1774289023745,2152.337220787209,2026-03-23
1774292633090,2168.7372054512284,2026-03-23
1774296224120,2154.246482549713,2026-03-23
1774299828129,2161.4388103748815,2026-03-23
1774303375174,2159.14951968169,2026-03-23
1774307027858,2153.05708890562,2026-03-23
1774310611176,2151.498274966905,2026-03-24
1774314231882,2143.717613655685,2026-03-24
1774317784083,2136.853256759612,2026-03-24
1774321410090,2135.4773151267364,2026-03-24
1774324992446,2140.4309318069786,2026-03-24
1774328605250,2135.9972962805127,2026-03-24
1774332112540,2132.7428783142323,2026-03-24
1774335703944,2143.518149706572,2026-03-24
1774339287833,2166.047579440784,2026-03-24
1774342880851,2154.285195965167,2026-03-24
1774346441306,2164.435581469065,2026-03-24
1774350097009,2160.4983284834707,2026-03-24
1774353712064,2164.2774257427277,2026-03-24
1774357317407,2162.1986723694704,2026-03-24
1774360888749,2136.9551658228647,2026-03-24
1774364512964,2134.875234665172,2026-03-24
1774368104715,2133.3693505015635,2026-03-24
1774371711058,2125.9183930358263,2026-03-24
1774375294962,2108.8984965716654,2026-03-24
1774378809818,2118.099873236951,2026-03-24
1774382515462,2114.7459307243,2026-03-24
1774386104284,2148.342616114467,2026-03-24
1774389714879,2146.854258621121,2026-03-24
1774393298778,2146.1898800937756,2026-03-24
1774396903041,2155.6817607237,2026-03-25
1774400502442,2161.4439208626204,2026-03-25
1774404114601,2158.2894348400405,2026-03-25
1774407627591,2154.5693007673026,2026-03-25
1774411297082,2157.8068080998783,2026-03-25
1774414897180,2165.036283025876,2026-03-25
1774418533094,2168.0649434176444,2026-03-25
1774422123898,2166.0134336229567,2026-03-25
1774425755356,2164.531165709048,2026-03-25
1774429253034,2176.2069931226256,2026-03-25
1774432879986,2185.4907379344772,2026-03-25
1774436541211,2184.8088770914574,2026-03-25
1774440151728,2185.070292581442,2026-03-25
1774443619019,2183.806410574933,2026-03-25
1774447373180,2185.590287848622,2026-03-25
1774450929424,2175.5057861658634,2026-03-25
1774454594658,2162.774686143249,2026-03-25
1774458216759,2174.1573854810163,2026-03-25
1774461778476,2162.2977024344423,2026-03-25
1774465388410,2160.92956101707,2026-03-25
