ts,price,date
1774285419326,70539.95075755077,2026-03-23
1774289023051,71069.34533324269,2026-03-23
1774292633045,71049.75201776822,2026-03-23
1774296266620,70673.84328686942,2026-03-23
1774299816033,70898.50990542116,2026-03-23
1774303408929,70871.49537193075,2026-03-23
1774307025953,70754.11294097341,2026-03-23
1774310581550,70892.82823994374,2026-03-24
1774314191859,70691.20963441042,2026-03-24
1774317773654,70497.783796673,2026-03-24
1774321226282,70429.82090509095,2026-03-24
1774324973422,70505.5355628202,2026-03-24
1774328617094,70367.86749397316,2026-03-24
1774332095299,70252.45308411747,2026-03-24
1774335726833,70502.13562095199,2026-03-24
1774339306399,71285.55416417253,2026-03-24
1774342894519,70926.05228348031,2026-03-24
1774346477550,71299.66799821133,2026-03-24
1774350100911,71237.84222578786,2026-03-24
1774353713259,71110.07805777165,2026-03-24
1774357314402,70930.59887301897,2026-03-24
1774360878048,70039.64380544117,2026-03-24
1774364513516,69903.3681889646,2026-03-24
1774368104685,69872.59897269034,2026-03-24
1774371698079,69442.96978741302,2026-03-24
1774375299369,69179.35721667454,2026-03-24
1774378859322,69417.88017389276,2026-03-24
1774382512338,69296.70386159363,2026-03-24
1774386070241,70036.29129693768,2026-03-24
1774389695855,70259.23587427003,2026-03-24
1774393302313,70327.56965564,2026-03-24
1774396901189,70524.51175942823,2026-03-25
1774400477409,70847.88845384026,2026-03-25
1774404116680,70709.04546672574,2026-03-25
1774407721664,70485.95261570862,2026-03-25
1774411297522,70696.82035952818,2026-03-25
1774414916714,70916.77984389212,2026-03-25
1774418407649,71082.75166729843,2026-03-25
1774422052573,71012.75095282859,2026-03-25
1774425681741,70899.66539633296,2026-03-25
1774429249017,71240.60340405164,2026-03-25
1774432879756,71326.31988743633,2026-03-25
1774436545739,71494.83039503878,2026-03-25
1774440151946,71651.03014324601,2026-03-25
1774443737052,71682.98549923916,2026-03-25
1774447372972,71631.72227038858,2026-03-25
1774450945657,71291.00953905468,2026-03-25
1774454511937,70843.14037566936,2026-03-25
1774458215970,71310.27596792881,2026-03-25
1774461768127,70743.12969322263,2026-03-25
1774465413507,70762.88522631538,2026-03-25
1774468999649,70803.52212386463,2026-03-25
1774472626701,70982.1484301469,2026-03-25
1774476009804,71003.3810189207,2026-03-25
1774479784847,71343.12285014275,2026-03-25
1774483393778,71309.26403856269,2026-03-26
1774486957036,71235.418543699,2026-03-26
1774490537196,71245.79769201373,2026-03-26
1774494256276,70866.96468821711,2026-03-26
1774497802041,70865.83284704047,2026-03-26
1774501223783,70754.14022016643,2026-03-26
1774505012766,69976.52473870447,2026-03-26
1774508579937,70065.39506348,2026-03-26
1774512136009,70060.46802946102,2026-03-26
1774515725228,69983.71047448418,2026-03-26
1774519325496,69565.28302289729,2026-03-26
1774522962155,69461.64056489215,2026-03-26
1774526576387,69258.38692240322,2026-03-26
1774530160282,69416.11164790414,2026-03-26
1774533744361,69530.43000475917,2026-03-26
1774537429908,69462.818723659,2026-03-26
1774540929547,69052.36668187703,2026-03-26
1774544545087,68886.05755073845,2026-03-26
1774548124516,68460.0405580777,2026-03-26
1774551824798,68432.89019563152,2026-03-26
1774555353024,68575.61619653407,2026-03-26
1774558982668,68949.5314813283,2026-03-26
1774562504418,68888.27500980144,2026-03-26
1774566177028,68826.30686850422,2026-03-26
1774569713681,68791.11093800364,2026-03-27
1774573321307,68712.98514161636,2026-03-27
1774576918450,68987.91604743515,2026-03-27
1774580550629,68861.18343940613,2026-03-27
1774584105099,68732.87385203048,2026-03-27
1774587610314,68544.83136866611,2026-03-27
1774591342784,68584.57619715178,2026-03-27
1774594952479,68614.73543266914,2026-03-27
1774598541043,68433.29595166513,2026-03-27
1774602128660,67896.72261998236,2026-03-27
1774605725619,67666.10383727407,2026-03-27
1774609352756,66462.11327811745,2026-03-27
1774612878669,66666.3731870575,2026-03-27
1774616517509,66589.48462775366,2026-03-27
1774620157380,66110.91859349872,2026-03-27
1774623672138,66166.55253010265,2026-03-27
1774627301235,66084.9735136777,2026-03-27
1774630911354,65931.436380254,2026-03-27
1774634553036,65604.15370696093,2026-03-27
1774638116668,65817.95817627014,2026-03-27
1774641715474,66036.20502233546,2026-03-27
1774645269262,65978.7624110396,2026-03-27
1774648898706,66021.45792444395,2026-03-27
1774652422388,65981.97377183192,2026-03-27
1774656108123,66327.66737271791,2026-03-28
1774659725818,66382.83249898783,2026-03-28
1774663307482,66067.46482722324,2026-03-28
1774666933976,65995.96577262062,2026-03-28
1774670473119,66167.61183329132,2026-03-28
1774674103758,66189.65590146254,2026-03-28
1774677770598,66307.09909195548,2026-03-28
1774681361612,66363.77341122921,2026-03-28
1774684971907,66516.27378317354,2026-03-28
1774688564620,66350.41976637962,2026-03-28
1774692183789,66263.63211704824,2026-03-28
1774695755027,66178.92986536778,2026-03-28
1774699350566,66303.92808472476,2026-03-28
1774702959960,66415.83889333812,2026-03-28
1774706563374,66770.2554659786,2026-03-28
1774710134949,66707.15373392777,2026-03-28
